Date Time,Open,High,Low,Close,Volume
2009/8/28,3615.075,3627.366,3512.432,3531.41,100
2009/8/31,3477.116,3477.116,3276.108,3277.997,100
2009/9/1,3242.929,3319.717,3207.268,3245.274,100
2009/9/2,3229.021,3279.098,3195.852,3265.074,100
2009/9/3,3266.18,3437.159,3262.967,3427.442,100
2009/9/4,3422.954,3509.282,3408.083,3489.063,100
2009/9/7,3503.003,3564.65,3487.493,3527.254,100
2009/9/8,3505.443,3592.806,3473.181,3592.806,100
2009/9/9,3598.014,3616.254,3556.314,3613.41,100
2009/9/10,3598.266,3624.756,3558.616,3581.683,100
2009/9/11,3567.62,3659.439,3565.868,3641.816,100
2009/9/14,3653.469,3744.834,3652.577,3736.576,100
2009/9/15,3742.445,3791.841,3718.881,3775.213,100
2009/9/16,3764.567,3808.895,3706.297,3781.064,100
2009/9/17,3785.245,3881.849,3785.245,3868.667,100
2009/9/18,3879.099,3892.17,3707.022,3739.732,100
2009/9/21,3704.171,3805.037,3637.501,3804.331,100
2009/9/22,3793.79,3834.725,3708.199,3708.199,100
2009/9/23,3693.032,3733.694,3572.628,3595.706,100
2009/9/24,3572.481,3620.386,3477.406,3568.669,100
2009/9/25,3555.468,3583.602,3516.359,3536.811,100
2009/9/28,3546.341,3581.976,3418.456,3434.655,100
2009/9/29,3430.289,3449.173,3306.384,3372.074,100
2009/9/30,3396.927,3444.768,3396.561,3400.623,100
2009/10/9,3456.082,3576.636,3454.796,3576.444,100
2009/10/12,3586.041,3629.578,3555.945,3597.863,100
2009/10/13,3591.615,3659.081,3583.85,3659.081,100
2009/10/14,3668.372,3729.942,3667.506,3692.648,100
2009/10/15,3711.101,3733.276,3677.135,3704.404,100
2009/10/16,3712.918,3725.321,3654.696,3716.897,100
2009/10/19,3719.532,3808.181,3714.485,3808.181,100
2009/10/20,3827.626,3865.832,3811.786,3865.832,100
2009/10/21,3859.512,3887.889,3836.876,3839.947,100
2009/10/22,3827.181,3880.294,3815.166,3855.768,100
2009/10/23,3858.449,3926.192,3858.449,3908.435,100
2009/10/26,3914.608,3925.422,3869.149,3911.653,100
2009/10/27,3884.564,3887.437,3807.976,3807.976,100
2009/10/28,3794.993,3846.415,3763.173,3846.415,100
2009/10/29,3786.725,3814.915,3761.785,3777.505,100
2009/10/30,3823.8,3872.23,3799.662,3827.683,100
2009/11/2,3754.943,3955.783,3738.696,3955.783,100
2009/11/3,3970.452,4053.212,3967.003,4053.212,100
2009/11/4,4057.024,4091.993,4040.324,4083.482,100
2009/11/5,4082.874,4134.847,4068.94,4125.781,100
